customer_id,age,gender,education,employment_type,employment_length,annual_income,existing_emi,debt_to_income_ratio,cibil_score,credit_utilization_ratio,previous_default,loan_amount,loan_type,loan_purpose,loan_tenure_years,interest_rate,risk_category,lender_type,loan_processing_fee_percent,application_channel,state,city,area_type,loan_approval_time_days,document_verification_status,loan_approval_status,rejection_reason,EMI,EMI_to_Income_Ratio, risk_rule,Loan_to_Income_Ratio
50,57,Male,Graduate,Self-employed,29,1160723,10410,0.28,758,21.24,Yes,1446136,Vehicle,Vehicle,17,11.8,Low,Finance Company,1.85,Offline,Maharashtra,Amravati,Rural,1,Done,Pending,,16455.87,0.17,Low,1.25
51,41,Female,Graduate,Salaried,22,822506,13191,0.79,654,50.05,No,845803,Business,Business,2,14.55,Medium,Private Bank,1.16,Online,Tamil Nadu,Bilaspur,Urban,7,Done,Approved,,40829.55,0.6,High,1.03
52,31,Female,Graduate,Salaried,21,639610,11449,0.34,659,23.04,No,594576,Home,Home,18,11.75,Medium,Private Bank,0.8,Online,Rajasthan,Navi Mumbai,Urban,4,Done,Rejected,Low Income,6629.95,0.12,Low,0.93
53,41,Male,Graduate,Salaried,7,443628,13037,0.42,633,61.53,No,309126,Agriculture,Agriculture,16,5.35,High,Finance Company,2.18,Online,Uttar Pradesh,Jammu,Urban,1,Done,Approved,,2399.63,0.06,Low,0.7
54,53,Female,Graduate,Salaried,5,467466,10648,0.37,824,22.08,No,384544,Vehicle,Vehicle,19,10.09,Low,Private Bank,1.35,Online,Delhi,North Dumdum,Urban,6,Done,Approved,,3796,0.1,Low,0.82
55,62,Male,Graduate,Salaried,27,866633,15757,0.25,674,67.5,No,217663,Home,Home,15,12.3,Medium,Finance Company,1.54,Online,Bihar,Sri Ganganagar,Urban,1,Done,Rejected,Low Income,2654.48,0.04,Low,0.25
56,44,Female,Graduate,Self-employed,8,745888,13111,0.22,626,82.14,Yes,57164,Agriculture,Agriculture,8,6.2,High,Government Bank,0.37,Online,West Bengal,Bhubaneswar,Urban,11,Done,Pending,,756.8,0.01,Low,0.08
57,58,Female,Graduate,Salaried,28,403688,11240,0.61,797,16.03,No,905532,Personal,Personal,16,9.47,Low,Private Bank,1.07,Online,Rajasthan,Miryalaguda,Urban,3,Done,Approved,,9174.39,0.27,Low,2.24
58,50,Male,Graduate,Salaried,22,525038,9638,0.62,721,80.33,No,611632,Appliances,Appliances,4,16.39,Medium,Private Bank,1.42,Offline,West Bengal,Dharmavaram,Rural,4,Processing,Approved,,17456.23,0.4,Medium,1.16
59,38,Male,Non-Graduate,Salaried,9,803479,14765,0.26,547,79.51,No,231854,Home,Home,19,11.02,High,Government Bank,0.61,Offline,Karnataka,Gangtok,Rural,19,Processing,Approved,,2431.7,0.04,Low,0.29
60,30,Female,Graduate,Salaried,24,634974,8625,0.19,644,13.5,No,147963,Education,Education,20,8,High,Finance Company,2.63,Online,Maharashtra,Tiruchirappalli,Urban,5,Done,Approved,,1237.62,0.02,Low,0.23
61,38,Female,Graduate,Salaried,21,359795,3381,0.39,666,83.64,No,386396,Personal,Personal,5,9.99,Medium,Private Bank,0.95,Online,Delhi,Hyderabad,Urban,7,Done,Approved,,8207.87,0.27,Low,1.07
62,56,Male,Non-Graduate,Salaried,28,460550,4762,0.2,579,47.04,No,213198,Agriculture,Agriculture,8,5.68,High,Finance Company,1.62,Offline,Uttar Pradesh,Bhalswa Jahangir Pur,Rural,5,Done,Approved,,2768.63,0.07,Low,0.46
63,29,Male,Graduate,Salaried,9,478030,11238,0.32,568,11.84,No,123287,Appliances,Appliances,19,12.02,High,Government Bank,0.62,Online,Delhi,Bhagalpur,Urban,19,Processing,Approved,,1376.82,0.03,Low,0.26
64,26,Female,Graduate,Salaried,18,550981,190,0.11,726,12.67,No,438600,Agriculture,Agriculture,13,8.81,Medium,Government Bank,0.61,Online,Uttar Pradesh,Siwan,Urban,20,Done,Approved,,4731.63,0.1,Low,0.8
65,60,Female,Graduate,Pensioner,7,308409,19674,0.93,784,21.36,No,324446,Agriculture,Agriculture,8,5.47,Low,Finance Company,2.01,Online,West Bengal,Jabalpur,Urban,1,Done,Approved,,4180.45,0.16,Low,1.05
66,40,Male,Non-Graduate,Salaried,20,810818,6681,0.18,551,89.01,No,300646,Home,Home,6,8.87,High,Finance Company,2.47,Offline,Uttar Pradesh,Howrah,Rural,2,Processing,Approved,,5399.93,0.08,Low,0.37
67,41,Female,Graduate,Salaried,11,478933,1729,0.13,458,68.45,No,332026,Home,Home,13,8.92,High,Private Bank,1.17,Online,Tamil Nadu,Satna,Urban,6,Done,Approved,,3602.79,0.09,Low,0.69
68,32,Female,Graduate,Pensioner,30,379197,18068,0.64,628,79.63,No,141522,Vehicle,Vehicle,16,15.8,High,Government Bank,0.36,Online,Gujarat,Guwahati,Urban,18,Done,Pending,,2027.93,0.06,Low,0.37
69,40,Male,Graduate,Salaried,30,871342,15177,0.25,535,24.95,No,102582,Appliances,Appliances,4,11.9,High,Finance Company,2.37,Online,Karnataka,Amravati,Urban,2,Done,Pending,,2696.34,0.04,Low,0.12
70,29,Male,Non-Graduate,Salaried,16,378518,15454,1.26,835,29.76,Yes,1560285,Business,Business,17,17.84,Low,Government Bank,0.67,Offline,Uttar Pradesh,Dehradun,Rural,15,Processing,Approved,,24398.3,0.77,High,4.12
71,62,Female,Graduate,Salaried,5,604188,13629,0.71,700,59.86,No,740470,Education,Education,3,5.1,Medium,Private Bank,1.3,Online,Karnataka,Sambhal,Urban,8,Done,Pending,,22225.81,0.44,Medium,1.23
72,31,Male,Graduate,Salaried,6,437318,9944,0.82,840,13.76,No,1831984,Home,Home,17,11.16,Low,Finance Company,2.92,Online,Tamil Nadu,Kolkata,Urban,5,Done,Rejected,High Existing EMI,20074.97,0.55,High,4.19
73,56,Male,Graduate,Salaried,26,615597,9158,0.63,664,28.35,Yes,883861,Home,Home,4,11.58,Medium,Finance Company,2.44,Online,Tamil Nadu,Ongole,Urban,3,Done,Rejected,Previous Loan Default,23093.6,0.45,High,1.44
74,29,Male,Non-Graduate,Self-employed,21,1387673,7489,0.08,614,70.24,Yes,122949,Business,Business,12,10.42,High,Finance Company,2.79,Offline,Uttar Pradesh,Kadapa,Rural,5,Done,Pending,,1499.32,0.01,Low,0.09
75,25,Female,Graduate,Salaried,24,859318,17626,0.29,742,89.04,No,161787,Vehicle,Vehicle,7,17.57,Medium,Private Bank,1.1,Online,Delhi,Sultan Pur Majra,Urban,7,Done,Approved,,3359.76,0.05,Low,0.19
76,44,Female,Graduate,Salaried,5,843649,7743,0.15,585,65.08,No,190624,Business,Business,13,16.02,High,Private Bank,1.37,Online,Karnataka,Bellary,Urban,8,Done,Pending,,2912.82,0.04,Low,0.23
77,26,Male,Graduate,Self-employed,22,729470,15263,0.26,516,41.5,No,66310,Agriculture,Agriculture,19,7.73,High,Government Bank,0.47,Online,West Bengal,Guna,Urban,14,Done,Approved,,555.68,0.01,Low,0.09
78,46,Male,Graduate,Salaried,6,381775,15912,1.91,791,34.22,No,1639944,Business,Business,4,14.22,Low,Finance Company,1.53,Online,Delhi,Nandyal,Urban,5,Processing,Rejected,High Loan Amount Request,44995.08,1.41,High,4.3
79,43,Male,Graduate,Salaried,5,720080,13040,0.62,828,20.75,No,1303460,Appliances,Appliances,8,16.07,Low,Private Bank,1.18,Online,Tamil Nadu,Amaravati,Urban,3,Processing,Approved,,24205.22,0.4,Medium,1.81
80,60,Female,Graduate,Salaried,23,814681,12004,0.29,723,35.03,No,933859,Education,Education,16,6,Medium,Private Bank,0.96,Online,Gujarat,Rampur,Urban,8,Processing,Approved,,7577.69,0.11,Low,1.15
81,36,Male,Graduate,Salaried,30,719626,16938,0.4,513,40.04,No,154210,Agriculture,Agriculture,2,6.07,High,Government Bank,0.44,Online,West Bengal,Bhiwani,Urban,20,Done,Approved,,6839.55,0.11,Low,0.21
82,55,Female,Graduate,Salaried,29,340098,5150,0.67,717,33.73,No,835296,Business,Business,11,16.52,Medium,Private Bank,1.43,Online,Tamil Nadu,Secunderabad,Urban,4,Done,Pending,,13763.41,0.49,High,2.46
83,53,Female,Graduate,Salaried,21,475644,9978,0.49,705,58.4,No,668419,Vehicle,Vehicle,13,14.35,Medium,Finance Company,1.5,Online,Delhi,Faridabad,Urban,4,Processing,Approved,,9476.67,0.24,Low,1.41
84,34,Female,Graduate,Self-employed,20,712947,9057,0.18,522,23.66,No,120072,Business,Business,19,16.86,High,Private Bank,0.71,Online,Uttar Pradesh,Kavali,Urban,7,Processing,Rejected,Low CIBIL Score,1760.13,0.03,Low,0.17
85,28,Female,Graduate,Salaried,26,453388,5184,0.23,769,23.62,No,378185,Personal,Personal,18,8.92,Low,Private Bank,1.42,Offline,Uttar Pradesh,Bokaro,Rural,4,Done,Approved,,3522.62,0.09,Low,0.83
86,25,Female,Graduate,Self-employed,27,1037690,4055,0.11,741,44.5,No,366598,Home,Home,8,9.79,Medium,Private Bank,1.18,Online,Karnataka,Raiganj,Urban,4,Processing,Approved,,5522.17,0.06,Low,0.35
87,36,Male,Non-Graduate,Salaried,14,404325,9718,0.4,578,60.91,No,277184,Agriculture,Agriculture,9,8.52,High,Government Bank,0.59,Offline,Gujarat,Dharmavaram,Rural,11,Processing,Rejected,Previous Loan Default,3683.73,0.11,Low,0.69
88,43,Female,Graduate,Salaried,9,832000,2184,0.07,462,75.19,No,221093,Personal,Personal,13,12.68,High,Government Bank,0.7,Offline,Tamil Nadu,Raipur,Rural,17,Done,Approved,,2898.63,0.04,Low,0.27
89,25,Female,Graduate,Salaried,26,843439,7038,0.17,751,44.24,No,328704,Vehicle,Vehicle,15,17.57,Low,Private Bank,0.71,Online,Tamil Nadu,Jabalpur,Urban,5,Done,Pending,,5192.14,0.07,Low,0.39
90,46,Female,Graduate,Salaried,23,773012,17196,0.37,690,78.14,No,450018,Vehicle,Vehicle,18,16.28,Medium,Finance Company,2.12,Offline,Tamil Nadu,Nagaon,Rural,5,Done,Pending,,6456.73,0.1,Low,0.58
91,46,Male,Graduate,Salaried,23,889064,2511,0.14,777,46.46,No,321482,Business,Business,5,17.72,Low,Government Bank,0.54,Online,Delhi,Anantapur,Urban,14,Processing,Approved,,8114.64,0.11,Low,0.36
92,33,Male,Non-Graduate,Self-employed,19,1394922,15482,0.16,693,21.23,No,277745,Home,Home,18,11.15,Medium,Finance Company,2.27,Offline,Tamil Nadu,Salem,Rural,2,Done,Approved,,2985.7,0.03,Low,0.2
93,45,Male,Non-Graduate,Self-employed,5,1729264,10463,0.11,738,65.39,No,594872,Home,Home,18,10.37,Medium,Private Bank,0.97,Offline,Gujarat,Pondicherry,Rural,7,Done,Rejected,High Existing EMI,6090.09,0.04,Low,0.34
94,36,Female,Graduate,Self-employed,6,1041655,3816,0.05,450,42.8,No,66354,Business,Business,20,16.23,High,Private Bank,0.88,Online,Delhi,Mathura,Urban,3,Processing,Approved,,934.62,0.01,Low,0.06
95,61,Female,Graduate,Salaried,27,726310,13074,0.25,721,28.88,No,130278,Vehicle,Vehicle,17,16.51,Medium,Private Bank,1.37,Online,Gujarat,Nashik,Urban,6,Processing,Pending,,1910.01,0.03,Low,0.18
96,40,Female,Graduate,Self-employed,16,1621130,5105,0.1,484,38.86,No,307145,Business,Business,4,11.57,High,Government Bank,0.53,Offline,Tamil Nadu,Rampur,Rural,15,Processing,Approved,,8023.61,0.06,Low,0.19
97,32,Male,Graduate,Salaried,24,668181,2611,0.32,595,68.21,No,334747,Home,Home,2,9.49,High,Government Bank,0.29,Online,Gujarat,Indore,Urban,18,Processing,Approved,,15368.2,0.28,Low,0.5
98,60,Female,Graduate,Salaried,29,468923,12415,0.5,821,76.14,No,736207,Personal,Personal,16,8.65,Low,Finance Company,2.02,Online,Karnataka,Shimoga,Urban,4,Processing,Approved,,7092.99,0.18,Low,1.57
99,35,Male,Graduate,Salaried,17,632895,14976,0.71,792,39.61,No,1530488,Home,Home,8,9.01,Low,Private Bank,1.21,Online,Tamil Nadu,Berhampur,Urban,3,Processing,Rejected,Low Income,22429.9,0.43,Medium,2.42
100,42,Female,Graduate,Self-employed,15,1710367,11626,0.3,669,39.67,No,687715,Agriculture,Agriculture,2,8.81,Medium,Government Bank,0.35,Online,Maharashtra,Udaipur,Urban,20,Done,Rejected,Low Income,31358.16,0.22,Low,0.4
101,33,Male,Graduate,Self-employed,14,1508955,17637,0.17,675,55.09,No,465167,Education,Education,15,7.53,Medium,Government Bank,0.53,Online,West Bengal,Korba,Urban,13,Done,Approved,,4320.09,0.03,Low,0.31
102,27,Female,Graduate,Salaried,20,578316,15059,0.45,655,49.72,No,368373,Vehicle,Vehicle,8,14.92,Medium,Private Bank,1.49,Online,Karnataka,Sambalpur,Urban,8,Processing,Approved,,6593.56,0.14,Low,0.64
103,35,Female,Graduate,Salaried,17,376694,588,0.34,659,42.51,No,710155,Appliances,Appliances,13,14.56,Medium,Government Bank,0.69,Online,Maharashtra,Sambhal,Urban,20,Processing,Pending,,10165.52,0.32,Medium,1.89
104,53,Female,Graduate,Salaried,9,379927,14822,1.03,763,81.69,No,1219934,Agriculture,Agriculture,8,8.71,Low,Government Bank,0.64,Offline,Tamil Nadu,Hazaribagh,Rural,20,Done,Pending,,17689.29,0.56,High,3.21
105,53,Male,Graduate,Salaried,26,697298,19239,0.6,827,78.12,No,1982197,Agriculture,Agriculture,20,7.12,Low,Private Bank,1.14,Online,Bihar,Moradabad,Urban,3,Processing,Pending,,15511.05,0.27,Low,2.84
106,31,Male,Graduate,Pensioner,12,391167,16685,0.59,498,14.1,No,106576,Vehicle,Vehicle,5,16.32,High,Finance Company,1.67,Online,Rajasthan,Panvel,Urban,3,Done,Approved,,2609.88,0.08,Low,0.27
107,62,Male,Graduate,Salaried,11,617374,13528,0.31,720,69.4,Yes,287266,Education,Education,15,7.2,Medium,Finance Company,2.72,Online,Tamil Nadu,Dewas,Urban,5,Processing,Approved,,2614.25,0.05,Low,0.47
108,52,Male,Graduate,Salaried,5,394575,16712,0.59,481,44.66,No,293662,Agriculture,Agriculture,16,7.35,High,Finance Company,2.28,Online,Uttar Pradesh,Mumbai,Urban,4,Processing,Approved,,2605.34,0.08,Low,0.74
109,59,Female,Non-Graduate,Self-employed,14,855415,15612,0.26,536,77.5,No,393016,Agriculture,Agriculture,19,7.35,High,Government Bank,0.63,Offline,Maharashtra,Warangal,Rural,17,Done,Approved,,3203.3,0.04,Low,0.46
110,32,Female,Graduate,Salaried,19,374752,10992,0.65,594,59.93,No,203337,Agriculture,Agriculture,2,8.14,High,Government Bank,0.26,Online,Uttar Pradesh,Bahraich,Urban,10,Done,Approved,,9209.37,0.29,Low,0.54
111,56,Female,Graduate,Self-employed,22,1082926,6187,0.08,607,51.99,No,132390,Agriculture,Agriculture,14,6.03,High,Government Bank,0.42,Online,Uttar Pradesh,Sikar,Urban,13,Done,Approved,,1168.79,0.01,Low,0.12
112,34,Female,Graduate,Salaried,14,596326,8000,0.38,652,52.14,No,571220,Appliances,Appliances,8,17.57,Medium,Finance Company,2.2,Online,Uttar Pradesh,Junagadh,Urban,2,Done,Approved,,11117.86,0.22,Low,0.96
113,54,Male,Non-Graduate,Salaried,30,591577,1138,0.13,666,36.58,No,626594,Education,Education,17,7.33,Medium,Private Bank,1.35,Offline,Delhi,Haldia,Rural,4,Done,Approved,,5381.04,0.11,Low,1.06
114,44,Male,Graduate,Salaried,10,425255,13545,0.72,814,55.05,No,744173,Appliances,Appliances,9,13.9,Low,Finance Company,2.8,Online,Rajasthan,Serampore,Urban,1,Done,Approved,,12111.57,0.34,Medium,1.75
115,39,Female,Graduate,Self-employed,17,629590,12005,0.29,615,56.87,No,287713,Appliances,Appliances,15,10.26,High,Finance Company,2.17,Online,Delhi,Naihati,Urban,5,Processing,Approved,,3137.7,0.06,Low,0.46
116,56,Female,Graduate,Salaried,8,431624,15479,0.58,624,64.52,No,325028,Education,Education,6,5.43,High,Finance Company,1.71,Online,Delhi,Ambarnath,Urban,4,Done,Approved,,5299.63,0.15,Low,0.75
